"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 18:33:37 IST 2024","Mon Jun 10 18:33:48 IST 2024","11237","","Verify product category","","","","Verify that the related products are displayed when the user change the category.",""
"passed","Mon Jun 10 10:38:25 IST 2024","Mon Jun 10 10:38:37 IST 2024","11605","","Verify contact us functionality","","","","Verify that the user is able to submit contact us form",""
"passed","Mon Jun 10 18:34:58 IST 2024","Mon Jun 10 18:35:06 IST 2024","8376","","Verify login functionality","","","","Verify that the user is able to login successfully",""
"passed","Mon Jun 10 18:59:41 IST 2024","Mon Jun 10 18:59:45 IST 2024","4823","","Verify Order a product functionality","","","","Verify that the validation message is displayed when the user click on submit button without entering any data into review form.",""
"passed","Tue Jun 11 10:43:16 IST 2024","Tue Jun 11 10:43:41 IST 2024","24940","","Verify Order a product functionality","","","","Verify that the user is able to place the order successfully while already logged in",""
"passed","Mon Jun 10 10:54:24 IST 2024","Mon Jun 10 10:54:35 IST 2024","10789","","Verify contact us functionality","","","","Verify that required attribute is present in email tag",""
"passed","Tue Jun 11 10:42:57 IST 2024","Tue Jun 11 10:43:16 IST 2024","19174","","Verify Order a product functionality","","","","Verify that the user is able to place the order successfully and download the invoice",""
"passed","Mon Jun 10 18:59:34 IST 2024","Mon Jun 10 18:59:41 IST 2024","6118","","Verify Order a product functionality","","","","Verify that that successful message is displayed",""
"passed","Tue Jun 11 10:42:30 IST 2024","Tue Jun 11 10:42:57 IST 2024","26791","","Verify Order a product functionality","","","","Verify that the user is able to place the order successfully when logging in during the checkout process",""
"passed","Mon Jun 10 18:34:31 IST 2024","Mon Jun 10 18:34:35 IST 2024","4218","","Verify contact us functionality","","","","Verify that required attribute is present in email tag of review form",""
"passed","Tue Jun 11 10:42:19 IST 2024","Tue Jun 11 10:42:25 IST 2024","5518","","Verify Order a product functionality","","","","Verify that the user is able to add product into cart",""
"passed","Tue Jun 11 10:42:25 IST 2024","Tue Jun 11 10:42:30 IST 2024","4743","","Verify Order a product functionality","","","","Verify that the user is able to delete product from cart ",""
"passed","Tue Jun 11 10:47:02 IST 2024","Tue Jun 11 10:47:08 IST 2024","5683","","Verify register functionality","","","","Verify that the user is not register while using already registered email id",""
"passed","Tue Jun 11 10:49:21 IST 2024","Tue Jun 11 10:49:39 IST 2024","18421","","Verify Order a product functionality","","","","Verify that the user is able to place the order successfully when register in during the checkout process",""
"passed","Mon Jun 10 18:34:24 IST 2024","Mon Jun 10 18:34:31 IST 2024","7366","","Verify contact us functionality","","","","Verify that the user is able to submit contact us form successfully",""
"passed","Fri Jun 07 14:23:54 IST 2024","Fri Jun 07 14:24:05 IST 2024","10367","","Verify product category","","","","Verify product details page",""
"passed","Tue Jun 11 10:46:41 IST 2024","Tue Jun 11 10:47:02 IST 2024","21061","","Verify register functionality","","","","Verify that the user is able to register successfully",""
"failed","Mon Jun 10 18:33:55 IST 2024","Mon Jun 10 18:34:02 IST 2024","7226","","Verify product category","","","","Verify that the searched results are displayed.",""
"passed","Mon Jun 10 18:58:09 IST 2024","Mon Jun 10 18:58:20 IST 2024","11439","","Verify product details page","","","","Verify product details page",""
"passed","Tue Jun 11 10:43:41 IST 2024","Tue Jun 11 10:44:04 IST 2024","23422","","Verify Order a product functionality","","","","Verify that the added products are displayed in the carts when the user logout and login again in same browser.",""
"passed","Mon Jun 10 18:33:48 IST 2024","Mon Jun 10 18:33:55 IST 2024","6644","","Verify product category","","","","Verify that subscription successful message is displayed.",""
